State,District,Market Name,Arrival(QTL),Variety,MODAL Price (RS/QTL),MIN Price (RS/QTL),MAX Price (RS/QTL),CropName
Maharashtra,Jalgaon,Jalgaon,250,Other,2250,2000,2400,Jowar
Maharashtra,Osmanabad,Tuljapur,160,Jowar ( White),2200,1975,2400,Jowar
Maharashtra,Jalgaon,Yawal,100,Other,1390,970,1680,Jowar
Uttar Pradesh,Aligarh,Khair,270,Dara,1510,1480,1550,Barley
Uttar Pradesh,Aligarh,Aligarh,250,Dara,1500,1480,1520,Barley
Uttar Pradesh,Etah,Kasganj,120,Dara,1520,1510,1530,Barley
Karnataka,Gadag,Nargunda,410,GCH,5300,5150,5500,Cotton
Maharashtra,Jalgaon,Yawal,360,Other,5230,4690,5690,Cotton
Karnataka,Dharwad,Annigeri,280,GCH,5300,4600,5750,Cotton
Gujarat,Ahmedabad,Dhandhuka,150,Shanker 6 (B) 30mm FIne,5340,4500,6175,Cotton
Karnataka,Gadag,Gadag,140,GCH,4922,4801,5200,Cotton
